No,Date,Time,Race,Gender,Body_Size,Age_Range,With_Kids,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Wash_Item,Washer_No,Dryer_No,Spectacles
1,19/10/2015,20:17:50,malay,,moderate,,yes,young,big,red,casual,blue,short_sleeve,black,short,clothes,3,10,no
2,19/10/2015,20:28:42,indian,male,thin,32.0,no,no_kids,big,green,casual,,short_sleeve,blue_jeans,long,,6,9,no
3,19/10/2015,20:58:31,malay,female,,30.0,no,no_kids,big,blue,casual,red,short_sleeve,black,long,,4,10,no
4,19/10/2015,21:31:28,indian,male,thin,51.0,no,no_kids,,black,casual,,short_sleeve,yellow,short,clothes,5,9,no
5,19/10/2015,21:40:28,indian,male,moderate,34.0,no,no_kids,big,blue,casual,blue,short_sleeve,white,long,clothes,3,9,no
6,19/10/2015,23:45:38,,male,fat,50.0,no,no_kids,small,white,casual,brown,,blue_jeans,long,clothes,4,8,no
7,19/10/2015,23:53:38,,female,fat,45.0,,no_kids,big,pink,traditional,blue,,black,long,clothes,5,10,no
8,20/10/2015,0:24:01,indian,male,thin,49.0,no,,big,blue,casual,,short_sleeve,brown,long,clothes,3,9,no
9,20/10/2015,0:45:19,indian,male,thin,30.0,no,no_kids,small,purple,casual,white,short_sleeve,black,short,clothes,6,10,no
10,20/10/2015,1:17:50,chinese,male,moderate,33.0,no,no_kids,small,pink,casual,white,short_sleeve,blue_jeans,short,,5,7,no
11,20/10/2015,3:07:16,foreigner ,female,,45.0,no,no_kids,big,red,,black,short_sleeve,grey,short,,4,8,no
12,20/10/2015,7:23:12,,male,moderate,37.0,no,no_kids,,blue,casual,brown,short_sleeve,blue_jeans,long,,4,8,no
13,20/10/2015,7:23:12,malay,female,moderate,,no,no_kids,big,blue,casual,blue,long sleeve,blue_jeans,long,clothes,3,7,no
14,20/10/2015,9:06:14,malay,male,moderate,,no,no_kids,big,yellow,casual,yellow,short_sleeve,black,long,clothes,3,9,yes
15,20/10/2015,10:05:17,malay,female,moderate,55.0,,young,big,red,casual,,long sleeve,grey,,clothes,3,8,yes
16,20/10/2015,10:41:35,,male,thin,33.0,no,no_kids,big,brown,formal,,long sleeve,brown,long,clothes,5,9,no
17,20/10/2015,10:49:31,malay,female,thin,55.0,yes,toddler ,,,casual,brown,long sleeve,grey,long,clothes,4,7,no
18,20/10/2015,10:57:47,malay,male,fat,37.0,yes,toddler,big,blue,casual,grey,,grey,long,clothes,5,9,no
19,20/10/2015,11:13:26,malay,female,fat,55.0,yes,,,blue,traditional,orange,long sleeve,orange,long,,6,7,yes
20,20/10/2015,11:19:20,malay,female,moderate,50.0,yes,young,big,pink,casual,green,long sleeve,grey,long,clothes,5,10,no
21,20/10/2015,11:27:26,indian,male,fat,34.0,no,no_kids,big,black,casual,red,short_sleeve,grey,long,clothes,3,10,no
22,20/10/2015,11:27:57,,male,moderate,53.0,yes,baby,big,,formal,red,long sleeve,black,long,clothes,5,9,no
23,20/10/2015,11:28:43,malay,female,fat,38.0,yes,young,big,white,casual,red,,blue  ,long,blankets,3,7,no
24,20/10/2015,13:36:46,chinese,female,thin,29.0,no,,small,white,casual,,short_sleeve,black ,long,blankets,3,7,yes
25,20/10/2015,12:10:46,chinese,female,moderate,44.0,no,no_kids,big,white,casual,black,short_sleeve,black,long,clothes,5,7,no
26,20/10/2015,13:44:03,chinese,female,moderate,42.0,no,no_kids,small,orange,casual,black,short_sleeve,black,,clothes,3,8,no
27,20/10/2015,13:47:46,chinese,male,,41.0,no,no_kids,big,white,,black,,brown,long,clothes,6,9,no
28,20/10/2015,14:39:57,chinese,male,thin,36.0,yes,young,big,,,grey,,white,short,blankets,5,9,yes
29,20/10/2015,14:54:19,indian,male,fat,39.0,no,no_kids,big,blue,,black,,blue_jeans,,clothes,4,10,no
30,20/10/2015,14:54:19,indian,male,thin,42.0,no,no_kids,big,,,black,short_sleeve,blue_jeans,long,,6,9,no
31,20/10/2015,15:26:05,malay,,fat,32.0,no,no_kids,big,purple,,purple,long sleeve,black,long,clothes,3,7,no
32,20/10/2015,15:45:51,chinese,,thin,40.0,yes,toddler,big,,casual,white,short_sleeve,white,short,clothes,5,9,yes
33,20/10/2015,15:52:41,foreigner ,male,moderate,,no,no_kids,big,blue,casual,black,short_sleeve,black,long,clothes,3,8,no
34,20/10/2015,16:01:30,malay,female,fat,55.0,,no_kids,big,purple,casual,purple,long sleeve,black,long,clothes,3,7,no
35,20/10/2015,16:34:06,chinese,male,thin,46.0,no,no_kids,big,red,casual,,short_sleeve,black,,clothes,4,7,no
36,20/10/2015,18:14:37,malay,female,thin,46.0,no,no_kids,small,white,casual,white,short_sleeve,grey,,clothes,6,10,no
37,20/10/2015,18:34:26,malay,male,fat,,no,no_kids,big,blue,formal,white,short_sleeve,brown,,clothes,4,7,yes
38,20/10/2015,18:37:46,chinese,female,thin,35.0,,no_kids,small,green,casual,grey,short_sleeve,grey,short,clothes,5,9,no
39,20/10/2015,18:48:34,malay,female,thin,41.0,no,,,red,formal,orange,long sleeve,black,long,clothes,5,10,no
40,20/10/2015,18:57:46,malay,,,31.0,no,no_kids,big,red,traditional,green,long sleeve,green,long,,4,9,yes
41,20/10/2015,18:57:46,malay,female,fat,34.0,no,no_kids,big,red,traditional,brown,long sleeve,brown,long,clothes,5,9,no
42,20/10/2015,20:09:18,malay,female,fat,36.0,no,no_kids,big,blue,casual,grey,long sleeve,black,long,blankets,4,8,no
43,20/10/2015,20:21:03,malay,male,thin,33.0,no,,big,red,casual,black,short_sleeve,blue_jeans,long,clothes,4,10,yes
44,20/10/2015,20:21:03,malay,female,,51.0,no,no_kids,big,,casual,blue,short_sleeve,red,long,,6,9,no
45,20/10/2015,20:21:03,,female,moderate,46.0,no,no_kids,big,blue,formal,grey,long sleeve,black,long,blankets,3,7,no
46,20/10/2015,20:32:37,malay,,moderate,51.0,no,no_kids,big,black,casual,red,long sleeve,red,long,,6,8,no
47,20/10/2015,20:44:46,indian,male,fat,48.0,no,no_kids,big,purple,casual,red,short_sleeve,black,short,clothes,5,7,no
48,20/10/2015,20:48:32,malay,female,fat,28.0,no,no_kids,big,blue,casual,,long sleeve,brown,long,,3,9,yes
49,20/10/2015,21:39:30,,male,,49.0,no,no_kids,big,red,casual,black,short_sleeve,blue,short,clothes,4,8,no
50,20/10/2015,21:44:10,indian,male,fat,48.0,no,no_kids,big,red,casual,,short_sleeve,blue,short,clothes,5,10,no
51,20/10/2015,21:05:59,malay,female,fat,42.0,yes,toddler,big,orange,casual,black,short_sleeve,black,long,blankets,5,9,no
52,20/10/2015,22:04:52,indian,female,fat,42.0,no,no_kids,small,white,traditional,red,short_sleeve,black,long,clothes,5,7,no
53,20/10/2015,22:04:52,foreigner ,male,moderate,54.0,no,no_kids,big,white,casual,white,short_sleeve,black,long,clothes,3,9,no
54,20/10/2015,22:10:28,foreigner ,male,thin,38.0,no,,big,yellow,casual,white,short_sleeve,black,long,clothes,3,8,no
55,20/10/2015,22:12:39,chinese,female,thin,39.0,no,no_kids,big,,casual,blue,long sleeve,yellow,short,clothes,6,7,no
56,20/10/2015,22:18:01,malay,male,thin,53.0,yes,young,big,white,formal,brown,long sleeve,blue,long,clothes,6,8,no
57,20/10/2015,22:20:42,malay,male,thin,29.0,yes,toddler,big,black,casual,white,short_sleeve,blue_jeans,long,clothes,3,10,no
58,20/10/2015,22:24:54,indian,male,fat,43.0,no,no_kids,big,blue,casual,white,short_sleeve,black,long,clothes,6,10,no
59,20/10/2015,22:24:54,indian,female,fat,29.0,yes,young,small,white,traditional,brown,short_sleeve,blue,long,clothes,5,8,no
60,20/10/2015,22:37:12,malay,female,thin,50.0,yes,toddler,,black,casual,grey,short_sleeve,grey,long,clothes,3,8,no
61,20/10/2015,22:52:52,malay,,,51.0,no,no_kids,small,,casual,black,short_sleeve,grey,long,clothes,3,9,no
62,20/10/2015,22:54:56,malay,male,thin,28.0,yes,toddler,big,,casual,white,short_sleeve,blue_jeans,long,clothes,4,10,no
63,20/10/2015,22:59:55,indian,female,moderate,55.0,yes,baby,big,white,casual,blue,short_sleeve,brown,short,clothes,3,9,no
64,20/10/2015,23:08:44,indian,male,thin,33.0,no,no_kids,small,yellow,casual,,short_sleeve,black,long,blankets,5,10,no
65,20/10/2015,23:08:44,indian,male,moderate,49.0,no,no_kids,small,white,formal,blue,long sleeve,black,,,6,10,yes
66,20/10/2015,23:15:42,malay,male,thin,42.0,,no_kids,small,red,casual,brown,long sleeve,blue,long,blankets,4,8,no
67,20/10/2015,0:04:56,malay,female,moderate,45.0,no,no_kids,big,pink,formal,red,long sleeve,black,long,blankets,3,7,no
68,21/10/2015,2:17:42,indian,male,thin,30.0,no,no_kids,small,white,casual,black,short_sleeve,white,short,clothes,6,7,no
69,21/10/2015,7:35:52,indian,,fat,44.0,no,no_kids,small,blue,casual,blue,short_sleeve,white,,clothes,4,8,no
70,21/10/2015,7:58:48,chinese,,,54.0,no,no_kids,big,red,casual,blue,short_sleeve,brown,long,clothes,3,7,no
71,21/10/2015,11:21:04,chinese,,thin,43.0,no,no_kids,big,yellow,casual,grey,short_sleeve,white,long,clothes,3,8,no
72,21/10/2015,11:56:35,malay,male,,32.0,no,,big,blue,casual,,short_sleeve,blue_jeans,,clothes,4,8,yes
73,21/10/2015,11:56:35,malay,male,moderate,29.0,no,,big,red,casual,grey,short_sleeve,brown,long,clothes,5,8,no
74,21/10/2015,12:01:57,chinese,male,thin,40.0,,,small,white,casual,red,short_sleeve,blue,long,clothes,3,9,yes
75,21/10/2015,12:01:57,chinese,,,31.0,no,,big,white,casual,black,short_sleeve,grey,long,,5,8,no
76,21/10/2015,12:32:17,malay,,thin,31.0,no,no_kids,big,red,casual,blue,long sleeve,black,,clothes,5,10,no
77,21/10/2015,12:44:01,chinese,male,thin,54.0,no,no_kids,,white,casual,red,short_sleeve,black,long,clothes,3,8,no
78,21/10/2015,13:04:37,malay,female,thin,,no,no_kids,big,red,casual,,long sleeve,black,,clothes,6,10,no
79,21/10/2015,13:04:37,malay,male,moderate,54.0,,no_kids,small,white,casual,green,short_sleeve,blue_jeans,long,clothes,5,7,no
80,21/10/2015,14:18:47,chinese,female,fat,45.0,no,no_kids,big,blue,casual,grey,long sleeve,white,long,clothes,3,10,yes
81,21/10/2015,14:30:07,malay,male,fat,38.0,yes,toddler,big,white,casual,grey,short_sleeve,black,long,clothes,3,7,no
82,21/10/2015,14:32:50,malay,female,moderate,48.0,yes,young,big,blue,traditional,green,long sleeve,white,long,clothes,5,9,yes
83,21/10/2015,14:51:37,chinese,female,thin,,no,no_kids,,black,casual,red,short_sleeve,brown,,clothes,3,9,no
84,21/10/2015,15:05:32,,female,moderate,42.0,yes,toddler,big,blue,traditional,purple,long sleeve,purple,long,blankets,4,8,no
85,21/10/2015,16:53:36,chinese,male,moderate,53.0,no,no_kids,,white,casual,,short_sleeve,yellow,short,clothes,4,9,no
86,21/10/2015,19:35:17,malay,female,fat,,,no_kids,big,blue,traditional,brown,long sleeve,brown,long,clothes,6,8,no
87,21/10/2015,19:35:17,malay,female,,53.0,no,no_kids,,white,traditional,purple,long sleeve,purple,long,clothes,4,7,yes
88,21/10/2015,19:35:17,indian,male,,49.0,no,no_kids,,black,casual,black,short_sleeve,blue_jeans,long,clothes,3,7,no
89,21/10/2015,21:13:41,malay,male,thin,52.0,no,no_kids,big,black,traditional,brown,long sleeve,brown,long,clothes,6,10,no
90,21/10/2015,21:13:41,malay,male,thin,32.0,no,no_kids,big,white,casual,black,short_sleeve,black,long,clothes,6,8,no
91,21/10/2015,21:13:41,chinese,male,moderate,34.0,no,no_kids,big,blue,casual,blue,short_sleeve,red,short,clothes,5,9,yes
92,21/10/2015,21:13:41,indian,male,thin,,no,no_kids,big,white,formal,white,long sleeve,black,long,clothes,3,7,no
93,22/10/2015,7:31:47,malay,female,moderate,49.0,no,no_kids,big,yellow,traditional,white,long sleeve,white,long,clothes,4,8,no
94,22/10/2015,9:19:35,malay,,fat,33.0,no,no_kids,big,white,traditional,blue,long sleeve,black,,clothes,5,7,no
95,22/10/2015,9:19:35,malay,female,moderate,55.0,no,no_kids,big,blue,formal,grey,long sleeve,black,long,clothes,4,8,no
96,22/10/2015,9:48:38,chinese,female,thin,,no,no_kids,big,blue,casual,pink,short_sleeve,black,long,blankets,4,7,no
97,22/10/2015,10:08:57,malay,male,moderate,55.0,no,no_kids,big,,casual,,short_sleeve,yellow,long,clothes,3,8,yes
98,22/10/2015,10:50:38,malay,female,thin,49.0,no,no_kids,big,blue,casual,brown,long sleeve,black,long,clothes,5,9,no
99,22/10/2015,10:50:38,malay,,thin,46.0,no,no_kids,big,black,casual,red,short_sleeve,white,long,clothes,3,8,yes
100,22/10/2015,13:14:43,foreigner ,female,moderate,41.0,no,no_kids,big,white,casual,white,short_sleeve,white,long,,5,10,no
101,22/10/2015,13:17:51,malay,female,fat,53.0,no,no_kids,big,blue,formal,pink,long sleeve,black,,clothes,3,7,no
102,22/10/2015,13:17:51,malay,male,fat,41.0,,no_kids,big,green,casual,green,short_sleeve,black,long,clothes,3,10,no
103,22/10/2015,14:38:23,malay,male,moderate,55.0,no,no_kids,small,white,casual,brown,short_sleeve,grey,long,clothes,4,8,yes
104,22/10/2015,15:10:04,malay,,,34.0,no,no_kids,small,green,casual,red,long sleeve,purple,long,clothes,4,7,no
105,22/10/2015,15:42:25,malay,female,fat,40.0,no,no_kids,big,blue,casual,green,long sleeve,black,long,clothes,6,10,no
106,22/10/2015,18:42:40,indian,male,fat,44.0,no,no_kids,big,white,casual,yellow,short_sleeve,grey,short,clothes,5,7,no
107,22/10/2015,19:48:07,chinese,,thin,50.0,yes,baby,big,blue,casual,black,short_sleeve,black,long,clothes,3,10,no
108,22/10/2015,20:23:30,foreigner ,male,moderate,54.0,no,no_kids,big,blue,casual,black,short_sleeve,black,long,clothes,3,7,no
109,22/10/2015,20:49:14,chinese,male,thin,44.0,no,no_kids,big,black,casual,black,short_sleeve,blue_jeans,long,,5,8,no
110,22/10/2015,22:10:13,indian,male,moderate,32.0,,no_kids,big,white,casual,green,short_sleeve,brown,short,clothes,3,9,no
111,22/10/2015,22:52:01,chinese,female,thin,32.0,no,no_kids,big,blue,casual,white,short_sleeve,brown,short,clothes,3,9,no
112,22/10/2015,23:18:33,indian,male,fat,47.0,no,no_kids,big,black,casual,blue,short_sleeve,black,short,clothes,6,7,no
113,23/10/2015,1:09:08,chinese,female,fat,30.0,yes,toddler,big,red,casual,red,short_sleeve,green,,clothes,6,10,no
114,23/10/2015,1:31:55,chinese,male,fat,31.0,no,no_kids,big,yellow,casual,brown,short_sleeve,black,long,,3,8,yes
115,23/10/2015,1:52:36,indian,female,fat,39.0,,no_kids,big,white,casual,grey,short_sleeve,black,long,clothes,3,10,no
116,23/10/2015,2:48:52,malay,male,fat,40.0,no,no_kids,big,,casual,blue,short_sleeve,grey,long,,5,7,no
117,23/10/2015,4:35:37,indian,male,moderate,,no,no_kids,big,yellow,formal,white,short_sleeve,black,long,clothes,5,8,no
118,23/10/2015,7:07:53,malay,female,fat,52.0,yes,baby,big,red,casual,white,short_sleeve,black,long,clothes,5,7,yes
119,23/10/2015,7:31:00,malay,male,fat,33.0,no,no_kids,big,red,casual,red,long sleeve,brown,short,clothes,3,7,no
120,23/10/2015,10:27:02,,male,thin,47.0,,no_kids,big,red,formal,white,short_sleeve,black,long,clothes,5,9,yes
121,23/10/2015,11:14:22,malay,male,fat,53.0,yes,baby,big,,casual,red,short_sleeve,brown,,clothes,3,9,no
122,23/10/2015,11:17:03,malay,female,moderate,53.0,yes,toddler,big,,formal,pink,long sleeve,black,,clothes,4,7,no
123,23/10/2015,11:54:36,indian,male,moderate,40.0,no,no_kids,small,green,formal,white,short_sleeve,black,,clothes,3,9,no
124,23/10/2015,11:59:37,malay,male,moderate,40.0,no,no_kids,big,,formal,,short_sleeve,grey,long,clothes,4,10,no
125,23/10/2015,12:00:06,malay,,fat,52.0,no,no_kids,big,blue,,black,long sleeve,black,long,clothes,6,10,no
126,23/10/2015,12:00:06,indian,,fat,,no,no_kids,big,white,casual,black,short_sleeve,grey,,,4,10,no
127,23/10/2015,12:00:06,malay,male,fat,28.0,,no_kids,big,,casual,black,short_sleeve,black,long,clothes,3,8,no
128,23/10/2015,12:01:53,,male,thin,44.0,no,no_kids,big,,,black,short_sleeve,red,short,,4,8,yes
129,23/10/2015,12:23:32,malay,female,thin,52.0,no,no_kids,big,blue,casual,blue,,blue,short,,5,8,no
130,23/10/2015,12:57:44,malay,female,fat,39.0,no,no_kids,big,,casual,black,short_sleeve,black,long,,6,8,no
131,23/10/2015,15:17:25,malay,female,thin,31.0,no,no_kids,big,white,casual,red,short_sleeve,blue_jeans,long,clothes,3,7,no
132,23/10/2015,16:06:01,foreigner ,,,31.0,no,no_kids,big,white,formal,grey,,grey,long,clothes,6,9,no
133,23/10/2015,16:06:01,,female,,40.0,,no_kids,big,grey,casual,grey,long sleeve,black,,clothes,4,9,no
134,23/10/2015,16:11:32,malay,female,thin,28.0,yes,baby,big,white,casual,blue,,black,long,blankets,4,9,no
135,23/10/2015,16:33:34,malay,female,moderate,41.0,no,no_kids,big,green,traditional,blue,long sleeve,blue,long,clothes,4,7,yes
136,23/10/2015,17:31:48,malay,,,41.0,yes,toddler,big,white,casual,red,short_sleeve,blue_jeans,long,clothes,6,10,no
137,23/10/2015,17:31:48,malay,,fat,49.0,no,no_kids,big,blue,casual,brown,short_sleeve,white,long,clothes,5,9,no
138,23/10/2015,19:47:39,chinese,female,,30.0,no,no_kids,,white,casual,green,short_sleeve,black,long,clothes,6,7,no
139,23/10/2015,19:55:14,chinese,male,moderate,48.0,,no_kids,,blue,casual,white,short_sleeve,black,,clothes,3,9,no
140,23/10/2015,20:08:58,chinese,,moderate,34.0,,no_kids,,white,casual,,short_sleeve,blue_jeans,long,,5,7,no
141,23/10/2015,20:39:42,foreigner ,male,thin,45.0,no,no_kids,big,brown,casual,red,,grey,long,clothes,6,9,no
142,23/10/2015,21:18:54,foreigner ,female,thin,,,young,big,blue,casual,black,short_sleeve,black,long,clothes,3,9,no
143,23/10/2015,21:51:00,malay,female,,48.0,yes,toddler,big,red,casual,,long sleeve,black,long,,4,7,no
144,23/10/2015,22:31:34,indian,female,,40.0,yes,young,big,red,casual,purple,short_sleeve,black,,clothes,4,10,no
145,23/10/2015,22:58:27,chinese,,thin,42.0,no,no_kids,big,blue,casual,,short_sleeve,brown,long,clothes,5,9,yes
146,23/10/2015,23:38:01,malay,male,fat,,,no_kids,big,blue,casual,blue,short_sleeve,black,long,clothes,3,7,no
147,24/10/2015,0:18:48,chinese,male,fat,36.0,no,no_kids,big,red,casual,blue,short_sleeve,green,short,clothes,3,9,yes
148,24/10/2015,0:38:01,malay,,thin,28.0,yes,baby,big,blue,casual,red,short_sleeve,grey,long,clothes,3,9,no
149,24/10/2015,1:31:38,malay,male,fat,53.0,no,no_kids,big,red,casual,white,short_sleeve,black,long,,3,7,yes
150,24/10/2015,6:44:22,malay,male,thin,,no,no_kids,big,red,casual,yellow,,black,,clothes,4,7,yes
151,24/10/2015,6:56:49,chinese,female,moderate,39.0,no,no_kids,big,red,casual,,short_sleeve,black,long,,6,9,no
152,24/10/2015,8:51:44,,male,fat,40.0,no,no_kids,big,black,casual,white,long sleeve,brown,,clothes,4,10,no
153,24/10/2015,9:07:33,indian,female,thin,41.0,no,no_kids,big,green,casual,brown,short_sleeve,grey,long,,6,9,no
154,24/10/2015,9:22:05,malay,female,thin,50.0,no,no_kids,,red,casual,brown,long sleeve,brown,long,blankets,3,7,no
155,24/10/2015,9:23:10,malay,female,,48.0,no,no_kids,big,red,casual,red,long sleeve,brown,long,clothes,6,9,no
156,24/10/2015,9:23:10,,female,thin,42.0,,no_kids,big,red,casual,green,long sleeve,red,long,clothes,6,8,no
157,24/10/2015,9:24:29,malay,male,,51.0,,no_kids,small,white,casual,blue,,black,long,,6,10,no
158,24/10/2015,10:30:48,chinese,female,thin,54.0,no,no_kids,big,red,casual,,short_sleeve,brown,short,,6,9,no
159,24/10/2015,10:30:48,malay,male,thin,50.0,yes,toddler,big,black,casual,black,short_sleeve,blue,long,clothes,4,10,no
160,24/10/2015,10:47:32,,female,fat,44.0,no,no_kids,big,blue,casual,,long sleeve,black,long,clothes,5,8,no
161,24/10/2015,10:59:09,malay,,fat,41.0,no,no_kids,big,blue,casual,,short_sleeve,black,,clothes,4,9,no
162,24/10/2015,11:12:18,malay,female,moderate,,yes,young,big,red,casual,black,short_sleeve,red,long,,4,7,no
163,24/10/2015,11:32:11,malay,male,fat,41.0,yes,young,big,blue,casual,orange,short_sleeve,grey,short,clothes,6,10,no
164,24/10/2015,11:34:26,indian,female,,37.0,no,no_kids,big,red,casual,grey,short_sleeve,brown,short,,6,7,no
165,24/10/2015,12:00:51,indian,,fat,35.0,no,no_kids,big,black,casual,blue,,black,long,,3,7,no
166,24/10/2015,12:14:54,chinese,male,thin,53.0,yes,baby,big,blue,casual,black,short_sleeve,grey,long,blankets,6,7,yes
167,24/10/2015,12:37:44,chinese,male,moderate,53.0,no,,small,white,casual,red,short_sleeve,brown,short,clothes,6,10,no
168,24/10/2015,13:05:01,chinese,male,thin,51.0,no,no_kids,big,black,casual,red,short_sleeve,blue_jeans,long,clothes,6,7,no
169,24/10/2015,13:30:48,malay,female,,32.0,no,no_kids,big,red,casual,blue,short_sleeve,brown,long,clothes,4,8,yes
170,24/10/2015,13:37:15,malay,female,thin,52.0,no,no_kids,big,,casual,red,short_sleeve,black,long,clothes,5,9,no
171,24/10/2015,13:37:15,malay,,,50.0,no,no_kids,big,white,casual,green,long sleeve,white,long,,4,8,no
172,24/10/2015,14:07:01,malay,male,moderate,31.0,no,no_kids,big,red,casual,brown,short_sleeve,white,long,clothes,4,10,no
173,24/10/2015,14:28:38,indian,female,,54.0,no,no_kids,small,white,casual,,short_sleeve,black,long,clothes,5,10,no
174,24/10/2015,14:39:02,foreigner ,male,thin,47.0,no,,,,casual,blue,short_sleeve,black,,clothes,6,7,no
175,24/10/2015,14:51:31,chinese,male,,39.0,no,no_kids,big,black,casual,red,,black,short,,3,9,yes
176,24/10/2015,14:55:41,,female,thin,50.0,,no_kids,big,black,casual,,short_sleeve,black,long,clothes,4,8,no
177,24/10/2015,15:01:59,indian,male,fat,34.0,no,no_kids,,,formal,orange,long sleeve,black,long,blankets,4,7,yes
178,24/10/2015,15:20:20,malay,female,thin,47.0,no,no_kids,big,blue,casual,blue,,brown,long,blankets,6,8,no
179,24/10/2015,15:30:07,malay,male,fat,40.0,no,no_kids,big,blue,casual,black,short_sleeve,blue_jeans,long,clothes,5,10,no
180,24/10/2015,15:30:07,chinese,female,thin,51.0,no,no_kids,big,red,,white,short_sleeve,black,long,clothes,3,8,no
181,24/10/2015,15:30:07,chinese,male,moderate,37.0,no,no_kids,big,white,casual,black,short_sleeve,,long,clothes,4,7,yes
182,24/10/2015,17:07:48,,female,,40.0,,no_kids,big,,formal,red,long sleeve,blue_jeans,,clothes,5,10,no
183,24/10/2015,17:07:48,,female,thin,54.0,yes,young,big,red,casual,white,short_sleeve,black,long,clothes,5,7,no
184,24/10/2015,17:32:53,indian,female,moderate,35.0,no,,,black,casual,grey,short_sleeve,blue_jeans,short,,6,10,no
185,24/10/2015,18:56:36,indian,female,moderate,49.0,,no_kids,big,blue,,,short_sleeve,blue_jeans,long,clothes,3,7,no
186,24/10/2015,19:02:34,indian,female,thin,39.0,no,no_kids,,black,casual,white,long sleeve,black,long,blankets,5,10,yes
187,24/10/2015,19:39:23,malay,male,thin,41.0,no,no_kids,big,,casual,red,short_sleeve,black,long,clothes,3,7,yes
188,24/10/2015,19:39:23,chinese,female,moderate,40.0,no,no_kids,big,,,black,short_sleeve,white,long,clothes,4,10,no
189,24/10/2015,20:03:39,malay,male,thin,41.0,no,no_kids,big,blue,casual,black,short_sleeve,blue_jeans,long,blankets,4,9,no
190,24/10/2015,20:07:19,chinese,female,thin,51.0,,,big,blue,casual,black,short_sleeve,white,long,clothes,4,8,no
191,24/10/2015,20:59:01,malay,,fat,29.0,no,no_kids,big,pink,casual,grey,long sleeve,blue,long,clothes,3,8,yes
192,24/10/2015,20:59:01,malay,female,fat,45.0,no,no_kids,big,black,,blue,short_sleeve,black,long,clothes,5,7,no
193,24/10/2015,20:59:01,malay,female,fat,54.0,no,,big,white,casual,blue,short_sleeve,brown,long,clothes,3,7,yes
194,24/10/2015,21:06:04,indian,male,thin,45.0,no,,big,white,casual,red,short_sleeve,green,long,clothes,6,9,no
195,24/10/2015,21:12:32,malay,female,fat,39.0,no,no_kids,big,grey,,red,long sleeve,grey,long,,6,9,no
196,24/10/2015,21:12:32,malay,female,thin,53.0,no,no_kids,,black,casual,grey,short_sleeve,brown,,clothes,5,8,yes
197,24/10/2015,21:45:54,malay,female,thin,37.0,no,,big,blue,casual,red,long sleeve,grey,long,clothes,4,8,no
198,24/10/2015,21:45:54,malay,male,fat,50.0,no,no_kids,big,blue,casual,black,,black,long,clothes,3,7,yes
199,24/10/2015,23:32:46,chinese,female,thin,34.0,no,,big,,formal,white,short_sleeve,blue,long,clothes,6,8,no
200,24/10/2015,23:40:46,indian,male,thin,46.0,no,no_kids,big,blue,,blue,short_sleeve,brown,short,,4,10,no
201,24/10/2015,23:47:35,chinese,male,thin,33.0,no,no_kids,,black,casual,,short_sleeve,blue_jeans,short,clothes,3,8,no
202,25/10/2015,0:08:09,malay,male,fat,,no,no_kids,big,black,casual,red,short_sleeve,black,long,blankets,4,7,no
203,25/10/2015,0:11:08,malay,male,fat,50.0,no,no_kids,big,grey,,grey,short_sleeve,red,,clothes,6,10,yes
204,25/10/2015,1:29:47,chinese,female,fat,54.0,no,no_kids,big,brown,casual,black,,black,long,,3,7,no
205,25/10/2015,8:15:00,chinese,male,,38.0,no,,big,red,casual,white,short_sleeve,blue_jeans,long,,4,10,yes
206,25/10/2015,8:15:00,chinese,female,thin,30.0,,no_kids,big,blue,casual,pink,short_sleeve,pink,short,clothes,3,10,yes
